"id","SP_NAME","date_time","outletid","total_bet","total_win","pj_contribution","pj_payout","seed_money","seed_money_overk","seed_contri","ChannelType","platformcode","gamebrand","gamename","playerid","txn_count","bet_0_2","bet_3_10","bet_11_50","bet_51_100","bet_101_250","bet_251_1000","bet_1k_5k","bet_above_5k"
29,SP1,2024-11-01 00:00:00.000,"1",4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1150",1,0,1,0,0,0,0,0,0
30,SP1,2024-11-01 00:00:00.000,"1",0.500000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1167",1,1,0,0,0,0,0,0,0
31,SP1,2024-11-01 00:00:00.000,"1",5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1170",1,0,1,0,0,0,0,0,0
32,SP1,2024-11-01 00:00:00.000,"1",5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1171",1,0,1,0,0,0,0,0,0
33,SP1,2024-11-01 00:00:00.000,"1",5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1181",1,0,1,0,0,0,0,0,0
34,SP1,2024-11-01 00:00:00.000,"1",2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1184",1,1,0,0,0,0,0,0,0
35,SP1,2024-11-01 00:00:00.000,"1",3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1185",1,0,1,0,0,0,0,0,0
36,SP1,2024-11-01 00:00:00.000,"1",0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1187",1,1,0,0,0,0,0,0,0
37,SP1,2024-11-01 00:00:00.000,"1",0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1199",1,1,0,0,0,0,0,0,0
38,SP1,2024-11-01 00:00:00.000,"1",2.000000,3.600000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"12",1,1,0,0,0,0,0,0,0
39,SP1,2024-11-01 00:00:00.000,"1",3.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1200",2,2,0,0,0,0,0,0,0
40,SP1,2024-11-01 00:00:00.000,"1",2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1219",1,1,0,0,0,0,0,0,0
41,SP1,2024-11-01 00:00:00.000,"1",2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1221",1,1,0,0,0,0,0,0,0
42,SP1,2024-11-01 00:00:00.000,"1",1.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1229",1,1,0,0,0,0,0,0,0
43,SP1,2024-11-01 00:00:00.000,"1",4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1234",1,0,1,0,0,0,0,0,0
44,SP1,2024-11-01 00:00:00.000,"1",5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1241",1,0,1,0,0,0,0,0,0
45,SP1,2024-11-01 00:00:00.000,"1",0.500000,4.700000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1242",1,1,0,0,0,0,0,0,0
46,SP1,2024-11-01 00:00:00.000,"1",2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1243",1,1,0,0,0,0,0,0,0
47,SP1,2024-11-01 00:00:00.000,"1",0.500000,0.350000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1259",1,1,0,0,0,0,0,0,0
48,SP1,2024-11-01 00:00:00.000,"1",6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1262",1,0,1,0,0,0,0,0,0
49,SP1,2024-11-01 00:00:00.000,"1",4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1264",1,0,1,0,0,0,0,0,0
50,SP1,2024-11-01 00:00:00.000,"1",2.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1281",1,1,0,0,0,0,0,0,0
51,SP1,2024-11-01 00:00:00.000,"1",3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1284",1,0,1,0,0,0,0,0,0
52,SP1,2024-11-01 00:00:00.000,"1",2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1287",1,1,0,0,0,0,0,0,0
53,SP1,2024-11-01 00:00:00.000,"1",3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1296",1,0,1,0,0,0,0,0,0
54,SP1,2024-11-01 00:00:00.000,"1",3.000000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1297",1,0,1,0,0,0,0,0,0
55,SP1,2024-11-01 00:00:00.000,"1",3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1299",1,0,1,0,0,0,0,0,0
56,SP1,2024-11-01 00:00:00.000,"1",4.000000,35.900000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1311",2,0,2,0,0,0,0,0,0
57,SP1,2024-11-01 00:00:00.000,"1",0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1315",1,1,0,0,0,0,0,0,0
58,SP1,2024-11-01 00:00:00.000,"1",5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1316",1,0,1,0,0,0,0,0,0
59,SP1,2024-11-01 00:00:00.000,"1",2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1320",1,1,0,0,0,0,0,0,0
60,SP1,2024-11-01 00:00:00.000,"1",2.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1343",1,1,0,0,0,0,0,0,0
61,SP1,2024-11-01 00:00:00.000,"1",1.000000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1349",1,1,0,0,0,0,0,0,0
62,SP1,2024-11-01 00:00:00.000,"1",1.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,LBC,E-GAMES,GP1-BRAND,GP1-NAME,"1351",1,1,0,0,0,0,0,0,0
